"shcode" "gr" "gdp60" "lr" "lgdp60" "ls_k" "lgr_pop" "pyrm60" "pyrf60" "syrm60" "syrf60" "hyrm60" "hyrf60" "nom60" "nof60" "prim60" "prif60" "pricm60" "pricf60" "secm60" "secf60" "seccm60" "seccf60" "llife" "lfert" "edu_gdp" "gcon_gdp" "revol" "revcoup" "wardum" "wartime" "lbmp" "tot" "pyrm60" "pyrf60" "syrm60" "syrf60" "hyrm60" "hyrf60" "nom60" "nof60" "prim60" "prif60" "pricm60" "pricf60" "secm60" "secf60" "seccm60" "seccf60"
"1" 1 0.0220371113018831 1701 10 7.43897159239586 -1.45609899056463 -3.57698036161653 0.904 0.566 0.141 0.063 0.02 0.005 78.2 86.24 18.72 12.14 5.38 3.5 2.43 1.45 1.02 0.45 3.98527346716774 1.97346972810639 0.03866 0.07248 0.083333 0.123 0 0 0.624225735093524 0.0637936 6.72483031952586 4.21045792129606 1.04889499452782 0.468655210320939 0.148779431847917 0.0371948579619793 581.727578525356 641.536910128219 139.257548209651 90.3091151316858 40.0216671670897 26.0364005733855 18.0767009695219 10.786508808974 7.58775102424378 3.34753721657814
"2" 17 -0.00559735113775886 873 27 6.7719355558396 -2.52597867556347 -3.70582217484425 0.903 0.227 0.186 0.039 0.04 0.01 77.84 94.1 19.3 5.3 4.66 1.07 1.95 0.3 0.45 0.07 3.90237662837634 1.89509794193424 0.03128 0.109276 0.32 0.547 0 0 1.58062683057998 -0.0161568 6.11505780692316 1.53722937117559 1.25958001338617 0.264105486677744 0.270877422233584 0.067719355558396 527.127463666555 637.239135804507 130.698356227704 35.8912584459499 31.5572196902125 7.24597104474837 13.2052743338872 2.03158066675188 3.04737100012782 0.474035488908772
"3" 21 0.00737584985339261 642 20 6.46458830368996 -1.70897099615931 -3.29359937106414 1.559 0.523 0.158 0.06 0.014 0.007 66.81 87.8 29.79 11 8.14 1.34 2.9 1.1 0.91 0.2 3.92710864284619 2.07794041555357 0.04628 0.13246 0.05 0.05 0 0 0.160587064647948 -0.0085046 10.0782931654526 3.38097968282985 1.02140495198301 0.387875298221398 0.0905042362516595 0.0452521181258297 431.899144569526 567.590853063979 192.580085566924 71.1104713405896 52.6217487920363 8.66254832694455 18.7473060807009 7.11104713405896 5.88277535635786 1.29291766073799
"4" 23 0.00553337561535894 701 9 6.55250788703459 -1.91609895148368 -3.53495737184168 0.624 0.186 0.196 0.063 0.053 0.018 87.87 96.5 7.95 2.2 4.48 1.4 2.65 0.8 0.84 0.3 3.85524099132916 1.86476206877776 0.02666 0.151108 0.16 0.227 1 0.04 0.0907543632684641 -0.046018 4.08876492150958 1.21876646698843 1.28429154585878 0.412807996883179 0.347282918012833 0.117945141966623 575.768868033729 632.317011098838 52.092437701925 14.4155173514761 29.355235333915 9.17351104184842 17.3641459006417 5.24200630962767 5.50410662510906 1.96575236611038
"5" 25 0.0122897699078779 367 25 5.90536184805457 -2.11916414075679 -3.52608056380885 2.435 0.854 0.024 0.003 0 0 55.61 80.47 43.52 19.56 15.89 1.6 0.73 0.1 0.21 0.03 3.71843825635548 2.03992078351755 0.02102 0.15052 0 0 0 0 0.34613964202335 -0.0152974 14.3795561000129 5.0431790182386 0.14172868435331 0.0177160855441637 0 0 328.397172370315 475.204467912951 257.001347627335 115.508877747947 93.8361997655871 9.44857895688731 4.31091414907984 0.590536184805457 1.24012598809146 0.177160855441637
"6" 31 0.0023172501626442 503 1 6.22059017009974 -2.46533934429547 -3.60233485271375 1.275 0.283 0.113 0.051 0.015 0 67.24 92.66 30.81 6.09 7.37 1.23 1.75 1.06 0.47 0.3 3.66663384516662 1.93152141160321 0.01294 0.162364 0.12 0.16 0 0 0.0318861888623217 -0.0169246 7.93125246687717 1.76042701813823 0.702926689221271 0.317250098675087 0.0933088525514961 0 418.272483037506 576.399885161442 191.656383140773 37.8833941359074 45.8457495536351 7.65132590922268 10.8860327976745 6.59382558030572 2.92367737994688 1.86617705102992
"7" 41 0.01482715968091 312 10 5.74300318780948 -1.85544075789439 -3.44640397450023 1.148 0.737 0.424 0.138 0.2 0.069 79.5 84.08 12.88 13.52 4.7 2.73 2.05 0.44 0.39 0.13 3.83037901638764 1.88366993716148 0.03372 0.200868 0.05 0.05 1 0.08 0.640906068714255 -0.0052144 6.59296765960529 4.23259334941559 2.43503335163122 0.792534439917709 1.1486006375619 0.396267219958854 456.568753430854 482.871708031021 73.9698810589861 77.6454030991842 26.9921149827046 15.6783987027199 11.7731565350094 2.52692140263617 2.2397712432457 0.746590414415233
"8" 42 0.0210285694503897 360 10 5.88610403145016 -1.64799164806635 -3.58056331063048 0.323 0.02 0.065 0.011 0.009 0 92.37 99.6 6.38 0.17 1.88 0.02 1 0.23 0.23 0.06 3.8146306594195 1.87180217690159 0.03564 0.157696 0.12 0.16 0 0 0.0318861888623217 -0.0142316 1.9012116021584 0.117722080629003 0.38259676204426 0.0647471443459517 0.0529749362830514 0 543.699429385051 586.255961532435 37.553343720652 1.00063768534653 11.0658755791263 0.117722080629003 5.88610403145016 1.35380392723354 1.35380392723354 0.353166241887009
"9" 43 0.036859267857645 1076 16 6.98100574072173 -1.76112163769757 -3.83136510241069 0.541 0.043 0.219 0.031 0.048 0.007 88.64 99.4 6.64 0.1 2.16 0.1 3.35 0.44 1.43 0.24 4.01457959375324 1.80946840300883 0.04474 0.096672 0 0 0 0 0.266815879770396 0.0260508 3.77672410573046 0.300183246851034 1.52884025721806 0.216411177962374 0.335088275554643 0.0488670401850521 618.796348857574 693.91197062774 46.3538781183923 0.698100574072173 15.0789723999589 0.698100574072173 23.3863692314178 3.07164252591756 9.98283820923207 1.67544137777322
"10" 44 -0.0150843952941216 678 35 6.5191472879404 -2.32295107894692 -3.4364101374179 1.568 0.537 0.189 0.033 0 0 63.28 86 30.3 12.7 8.94 2.8 6.52 1.2 1.94 0.3 3.82428409112014 1.93221682192331 0.0218 0.16646 0.35 0.43 1 0.28 1.26914237630903 0.004476 10.2220229474905 3.50078209362399 1.23211883742073 0.215131860502033 0 0 412.531640380868 560.646666762874 197.530162824594 82.793170556843 58.2811767541871 18.2536124062331 42.5048403173714 7.82297674552847 12.6471457386044 1.95574418638212
